contigs_cluasted1378;size=1	lytic	low quality draft
contigs_cluasted5838;size=5	lytic	low quality draft
contigs_cluasted7044;size=1	lytic	low quality draft
contigs_cluasted79;size=1	lytic	low quality draft
contigs_cluasted510;size=2	lysogenic	high quality draft
contigs_cluasted6965;size=1	lytic	low quality draft
contigs_cluasted689;size=1	lysogenic	medium quality draft
contigs_cluasted1714;size=2	lytic	medium quality draft
contigs_cluasted6143;size=1	lytic	low quality draft
contigs_cluasted6841;size=1	lytic	low quality draft
contigs_cluasted6844;size=1	lytic	low quality draft
contigs_cluasted352;size=1	lytic	high quality draft
contigs_cluasted100000568;size=2	lytic	low quality draft
contigs_cluasted6815;size=1	lytic	low quality draft
contigs_cluasted133;size=1	lysogenic	medium quality draft
contigs_cluasted824;size=1	lysogenic	medium quality draft
contigs_cluasted5588;size=1	lytic	low quality draft
contigs_cluasted5175;size=7	lytic	low quality draft
contigs_cluasted656;size=1	lysogenic	medium quality draft
contigs_cluasted2449;size=1	lytic	medium quality draft
contigs_cluasted1542;size=5	lytic	medium quality draft
contigs_cluasted100000295;size=1	lytic	low quality draft
contigs_cluasted100000106;size=1	lytic	medium quality draft
contigs_cluasted117;size=1	lytic	medium quality draft
contigs_cluasted328;size=1	lytic	low quality draft
contigs_cluasted18;size=1	lytic	high quality draft
contigs_cluasted224;size=1	lysogenic	medium quality draft
contigs_cluasted506;size=2	lytic	low quality draft
contigs_cluasted382;size=9	lytic	medium quality draft
contigs_cluasted505;size=1	lysogenic	low quality draft
contigs_cluasted784;size=1	lysogenic	medium quality draft
contigs_cluasted370;size=3	lytic	high quality draft
contigs_cluasted1100;size=1	lytic	medium quality draft
contigs_cluasted2461;size=8	lytic	medium quality draft
contigs_cluasted1180;size=1	lysogenic	medium quality draft
contigs_cluasted2329;size=1	lytic	low quality draft
contigs_cluasted182;size=2	lysogenic	medium quality draft
contigs_cluasted969;size=1	lysogenic	low quality draft
contigs_cluasted395;size=1	lysogenic	medium quality draft
contigs_cluasted2293;size=1	lytic	low quality draft
contigs_cluasted349;size=1	lysogenic	high quality draft
contigs_cluasted355;size=1	lytic	low quality draft
contigs_cluasted282;size=1	lysogenic	medium quality draft
contigs_cluasted1869;size=1	lytic	low quality draft
contigs_cluasted5797;size=2	lytic	low quality draft
contigs_cluasted5754;size=1	lytic	low quality draft
contigs_cluasted6420;size=1	lytic	low quality draft
contigs_cluasted6757;size=1	lytic	low quality draft
contigs_cluasted3848;size=4	lytic	low quality draft
contigs_cluasted1004;size=3	lysogenic	medium quality draft
contigs_cluasted6941;size=1	lytic	low quality draft
contigs_cluasted4016;size=3	lytic	medium quality draft
contigs_cluasted837;size=1	lytic	low quality draft
contigs_cluasted3513;size=1	lytic	low quality draft
contigs_cluasted1495;size=2	lysogenic	low quality draft
contigs_cluasted10000069;size=1	lysogenic	low quality draft
contigs_cluasted289;size=1	lysogenic	low quality draft
contigs_cluasted5892;size=1	lytic	low quality draft
contigs_cluasted12;size=1	lysogenic	medium quality draft
contigs_cluasted1148;size=1	lytic	low quality draft
contigs_cluasted7607;size=1	lytic	low quality draft
contigs_cluasted10000057;size=1	lytic	low quality draft
contigs_cluasted3872;size=5	lytic	low quality draft
contigs_cluasted10000039;size=1	lytic	low quality draft
contigs_cluasted245;size=5	lysogenic	high quality draft
contigs_cluasted1270;size=1	lysogenic	low quality draft
contigs_cluasted6101;size=1	lytic	low quality draft
contigs_cluasted212;size=3	lysogenic	medium quality draft
contigs_cluasted476;size=1	lysogenic	low quality draft
contigs_cluasted2707;size=1	lytic	low quality draft
contigs_cluasted299;size=1	lysogenic	high quality draft
contigs_cluasted603;size=1	lysogenic	low quality draft
contigs_cluasted10000025;size=1	lytic	medium quality draft
contigs_cluasted2500;size=1	lytic	low quality draft
contigs_cluasted122;size=1	lysogenic	medium quality draft
contigs_cluasted2886;size=1	lytic	medium quality draft
contigs_cluasted5313;size=1	lytic	low quality draft
contigs_cluasted666;size=1	lysogenic	medium quality draft
contigs_cluasted148;size=1	lytic	low quality draft
contigs_cluasted722;size=2	lysogenic	high quality draft
contigs_cluasted745;size=1	lytic	low quality draft
contigs_cluasted8514;size=1	lytic	low quality draft
contigs_cluasted581;size=1	lysogenic	high quality draft
contigs_cluasted5741;size=5	lytic	low quality draft
contigs_cluasted29;size=1	lysogenic	medium quality draft
contigs_cluasted6775;size=4	lytic	low quality draft
contigs_cluasted1164;size=1	lytic	low quality draft
contigs_cluasted6648;size=1	lysogenic	low quality draft
contigs_cluasted883;size=1	lysogenic	high quality draft
contigs_cluasted512;size=2	lytic	high quality draft
contigs_cluasted400;size=1	lysogenic	medium quality draft
contigs_cluasted6755;size=1	lytic	low quality draft
contigs_cluasted947;size=2	lytic	low quality draft
contigs_cluasted6906;size=2	lytic	low quality draft
contigs_cluasted100000270;size=3	lytic	low quality draft
contigs_cluasted1201;size=1	lysogenic	low quality draft
contigs_cluasted556;size=1	lysogenic	medium quality draft
contigs_cluasted6313;size=1	lytic	low quality draft
contigs_cluasted984;size=1	lytic	low quality draft
contigs_cluasted5464;size=1	lytic	low quality draft
contigs_cluasted1190;size=1	lysogenic	low quality draft
contigs_cluasted10000048;size=1	lytic	high quality draft
contigs_cluasted914;size=2	lysogenic	low quality draft
contigs_cluasted1014;size=1	lysogenic	high quality draft
contigs_cluasted422;size=1	lysogenic	high quality draft
contigs_cluasted345;size=1	lytic	medium quality draft
contigs_cluasted1203;size=4	lytic	medium quality draft
contigs_cluasted1150;size=1	lysogenic	low quality draft
contigs_cluasted751;size=1	lysogenic	low quality draft
contigs_cluasted174;size=8	lysogenic	medium quality draft
contigs_cluasted10000040;size=1	lysogenic	low quality draft
contigs_cluasted27;size=2	lytic	high quality draft
contigs_cluasted2451;size=1	lytic	medium quality draft
contigs_cluasted1963;size=1	lytic	medium quality draft
contigs_cluasted6438;size=1	lytic	low quality draft
contigs_cluasted223;size=1	lysogenic	medium quality draft
contigs_cluasted608;size=2	lysogenic	high quality draft
contigs_cluasted5370;size=1	lytic	low quality draft
contigs_cluasted6645;size=1	lytic	low quality draft
contigs_cluasted8471;size=1	lytic	low quality draft
contigs_cluasted440;size=1	lysogenic	medium quality draft
contigs_cluasted1253;size=1	lytic	low quality draft
contigs_cluasted654;size=1	lysogenic	low quality draft
contigs_cluasted10000052;size=1	lytic	low quality draft
contigs_cluasted3546;size=1	lysogenic	low quality draft
contigs_cluasted502;size=1	lytic	low quality draft
contigs_cluasted8395;size=1	lytic	low quality draft
contigs_cluasted6811;size=1	lytic	low quality draft
contigs_cluasted7370;size=1	lytic	low quality draft
contigs_cluasted579;size=1	lysogenic	low quality draft
contigs_cluasted5302;size=1	lytic	low quality draft
contigs_cluasted999;size=2	lytic	low quality draft
contigs_cluasted6060;size=2	lytic	low quality draft
contigs_cluasted1395;size=1	lytic	low quality draft
contigs_cluasted6037;size=1	lytic	low quality draft
contigs_cluasted911;size=3	lytic	low quality draft
contigs_cluasted6987;size=1	lytic	low quality draft
contigs_cluasted209;size=1	lysogenic	low quality draft
contigs_cluasted706;size=1	lytic	low quality draft
contigs_cluasted6436;size=1	lytic	low quality draft
contigs_cluasted493;size=1	lysogenic	low quality draft
contigs_cluasted171;size=1	lysogenic	low quality draft
contigs_cluasted643;size=3	lysogenic	low quality draft
contigs_cluasted405;size=1	lytic	medium quality draft
contigs_cluasted6891;size=1	lytic	low quality draft
contigs_cluasted2492;size=1	lytic	medium quality draft
contigs_cluasted10000024;size=1	lysogenic	medium quality draft
contigs_cluasted389;size=1	lysogenic	medium quality draft
contigs_cluasted586;size=1	lysogenic	low quality draft
contigs_cluasted5976;size=1	lytic	low quality draft
contigs_cluasted313;size=1	lytic	medium quality draft
contigs_cluasted913;size=1	lytic	high quality draft
contigs_cluasted44;size=1	lysogenic	medium quality draft
contigs_cluasted622;size=1	lytic	medium quality draft
contigs_cluasted729;size=1	lytic	medium quality draft
contigs_cluasted2524;size=1	lytic	medium quality draft
contigs_cluasted72;size=1	lytic	low quality draft
contigs_cluasted938;size=1	lysogenic	low quality draft
contigs_cluasted5348;size=1	lytic	low quality draft
contigs_cluasted153;size=1	lysogenic	high quality draft
contigs_cluasted2025;size=1	lytic	low quality draft
contigs_cluasted8400;size=2	lytic	low quality draft
contigs_cluasted1262;size=1	lysogenic	low quality draft
contigs_cluasted5010;size=1	lytic	low quality draft
contigs_cluasted1951;size=5	lytic	medium quality draft
contigs_cluasted2634;size=1	lytic	low quality draft
contigs_cluasted5615;size=2	lytic	low quality draft
contigs_cluasted8022;size=2	lytic	low quality draft
contigs_cluasted640;size=1	lytic	low quality draft
contigs_cluasted100000695;size=1	lytic	low quality draft
contigs_cluasted4176;size=1	lysogenic	low quality draft
