contigsID	family (ICTV taxonomic)	genus (ICTV taxonomic)	species (ICTV taxonomic)	viral_genome	viral_type	Family level (Host)
contigs_cluasted6954;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted6841;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted278;size=2	Other phage	Other phage	uncultured human fecal virus	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted7315;size=1	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted397;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Comamonadaceae
contigs_cluasted8814;size=1	unclassified CRESS virus	unclassified CRESS virus	CRESS virus sp.	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted1961;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted8511;size=1	Other phage	Other phage	Circular genetic element sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8889;size=1	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8327;size=1	unclassified CRESS virus	unclassified CRESS virus	CRESS virus sp.	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted983;size=1	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted8309;size=1	Other phage	Other phage	Circular genetic element sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1000002004;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8139;size=1	crAss-like phage	crAss-like phage	CrAssphage sp. C0531BW4	DNA virus	Bacteriophage	No host predicted
contigs_cluasted9692;size=1	Other phage	Other phage	Circular genetic element sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1000003059;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8810;size=1	Other phage	Other phage	ssDNA virus sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1800;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted1000002198;size=1	crAss-like phage	crAss-like phage	UAG-readthrough crAss clade sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8892;size=1	Other phage	Other phage	Circular genetic element sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1178;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1000001267;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8930;size=1	unclassified CRESS virus	unclassified CRESS virus	CRESS virus sp.	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted1000002248;size=1	crAss-like phage	crAss-like phage	CrAssphage apr34_000142F	DNA virus	Bacteriophage	No host predicted
